Temp_Up1_0.0-60.0C,A260nm_Up1_0.0-60.0C,Temp_Down1_60.0-0.0C,A260nm_Down1_60.0-0.0C,Temp_Up2_0.0-60.0C,A260nm_Up2_0.0-60.0C,Temp_Down2_60.0-0.0C,A260nm_Down2_60.0-0.0C
Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs
9.399999619,0.171773413,50.59999847,0.207841219,9.600000381,0.170288371,50.40000153,0.208829867
9.5,0.171785121,50.5,0.207820646,9.699999809,0.170324369,50.29999924,0.208788153
9.600000381,0.171744834,50.40000153,0.207787417,9.800000191,0.170290575,50.20000076,0.208737513
9.699999809,0.171776294,50.29999924,0.20776687,9.899999619,0.170257762,50.09999847,0.208712686
9.800000191,0.17182268,50.20000076,0.207757864,10,0.170295646,50,0.208693117
9.899999619,0.171816323,50.09999847,0.207744596,10.10000038,0.170322649,49.90000153,0.208665421
10,0.171808576,50,0.207719663,10.19999981,0.17034961,49.79999924,0.208643748
10.10000038,0.171837672,49.90000153,0.207732888,10.30000019,0.170377977,49.70000076,0.208629324
10.19999981,0.171860057,49.79999924,0.207597423,10.39999962,0.170347459,49.59999847,0.208667847
10.30000019,0.171874853,49.70000076,0.207569117,10.5,0.170318234,49.5,0.208647159
10.39999962,0.171902142,49.59999847,0.207547573,10.60000038,0.170337832,49.40000153,0.208578647
10.5,0.171912368,49.5,0.207546459,10.69999981,0.170340738,49.29999924,0.208585119
10.60000038,0.171944889,49.40000153,0.207578977,10.80000019,0.170382119,49.20000076,0.208620975
10.69999981,0.171976403,49.29999924,0.20759569,10.89999962,0.170411276,49.09999847,0.208496181
10.80000019,0.171973328,49.20000076,0.207585228,11,0.170434724,49,0.208509657
10.89999962,0.172049428,49.09999847,0.207532865,11.10000038,0.170487097,48.90000153,0.208507523
11,0.172087268,49,0.207530646,11.19999981,0.170490869,48.79999924,0.20847359
11.10000038,0.172103919,48.90000153,0.20748217,11.30000019,0.170469159,48.70000076,0.208490461
11.19999981,0.1721076,48.79999924,0.207516808,11.39999962,0.170504131,48.59999847,0.208438871
11.30000019,0.17210591,48.70000076,0.207543285,11.5,0.170532658,48.5,0.208433843
11.39999962,0.172073963,48.59999847,0.207513082,11.60000038,0.17055908,48.40000153,0.208412058
11.5,0.172094918,48.5,0.207475324,11.69999981,0.170577897,48.29999924,0.208411088
11.60000038,0.172111893,48.40000153,0.207429352,11.80000019,0.170600382,48.20000076,0.208373338
11.69999981,0.172112627,48.29999924,0.20733913,11.89999962,0.170609115,48.09999847,0.208356487
11.80000019,0.17215522,48.20000076,0.207281477,12,0.170608956,48,0.208302468
11.89999962,0.172161545,48.09999847,0.207270521,12.10000038,0.170646518,47.90000153,0.208277903
12,0.172142368,48,0.207257826,12.19999981,0.170678373,47.79999924,0.208305244
12.10000038,0.172152933,47.90000153,0.207250824,12.30000019,0.170721158,47.70000076,0.208298763
12.19999981,0.172208998,47.79999924,0.207213094,12.39999962,0.170800066,47.59999847,0.208258519
12.30000019,0.172199479,47.70000076,0.207203144,12.5,0.170813139,47.5,0.208273344
12.39999962,0.172197173,47.59999847,0.207199285,12.60000038,0.170812537,47.40000153,0.208211391
12.5,0.17219519,47.5,0.207128596,12.69999981,0.170855458,47.29999924,0.208200555
12.60000038,0.172184286,47.40000153,0.207138801,12.80000019,0.17090681,47.20000076,0.208212001
12.69999981,0.172203221,47.29999924,0.207132565,12.89999962,0.170901828,47.09999847,0.208194996
12.80000019,0.172231206,47.20000076,0.207088529,13,0.170894318,47,0.208150463
12.89999962,0.172230946,47.09999847,0.207056825,13.10000038,0.17094323,46.90000153,0.20814013
13,0.172273469,47,0.207007402,13.19999981,0.171003877,46.79999924,0.208074808
13.10000038,0.172379789,46.90000153,0.207012226,13.30000019,0.171063317,46.70000076,0.208096279
13.19999981,0.172454561,46.79999924,0.207037859,13.39999962,0.171089649,46.59999847,0.208039056
13.30000019,0.172467387,46.70000076,0.207067893,13.5,0.171113254,46.5,0.208059117
13.39999962,0.172534141,46.59999847,0.207049136,13.60000038,0.171150935,46.40000153,0.20804287
13.5,0.172642042,46.5,0.206998372,13.69999981,0.171193874,46.29999924,0.208000738
13.60000038,0.172655397,46.40000153,0.206974841,13.80000019,0.171255503,46.20000076,0.207982061
13.69999981,0.172707643,46.29999924,0.206938093,13.89999962,0.171267741,46.09999847,0.207954164
13.80000019,0.172758477,46.20000076,0.206941941,14,0.171327686,46,0.207932338
13.89999962,0.172799482,46.09999847,0.206951148,14.10000038,0.171381517,45.90000153,0.207975685
14,0.1728264,46,0.206955924,14.19999981,0.171389387,45.79999924,0.207900939
